0.761959,0.470832,0.940597
0.770711,0.491876,0.94292
0.779462,0.51292,0.945243
0.788214,0.533964,0.947567
0.796965,0.555008,0.94989
0.805717,0.576053,0.952213
0.815377,0.591822,0.935122
0.825794,0.603196,0.901851
0.836211,0.61457,0.868581
0.846627,0.625945,0.835311
0.857044,0.637319,0.802041
0.867229,0.648521,0.769723
0.882962,0.667487,0.724135
0.890829,0.676969,0.701341
0.898695,0.686452,0.678548
0.906561,0.695935,0.655754
0.912647,0.706978,0.641808
0.917714,0.718914,0.632918
0.922781,0.730849,0.624028
0.927848,0.742785,0.615138
0.932915,0.754721,0.606249
0.937647,0.767078,0.598583
0.940873,0.781334,0.596426
0.944098,0.795589,0.594269
0.947324,0.809845,0.592112
0.950549,0.8241,0.589954
0.953774,0.838356,0.587797
0.95566,0.851748,0.58813
0.957043,0.864816,0.589397
0.958425,0.877884,0.590663
0.959808,0.890952,0.591929
0.961191,0.90402,0.593196
0.961496,0.915513,0.596116
0.958926,0.922805,0.603444
0.956356,0.930097,0.610772
0.953786,0.937389,0.6181
0.951216,0.944681,0.625428
0.948646,0.951973,0.632756
0.939621,0.951967,0.647915
0.929162,0.95034,0.664815
0.918703,0.948713,0.681715
0.908243,0.947085,0.698615
0.897784,0.945458,0.715515
0.883137,0.940625,0.734935
0.861161,0.930182,0.758764
0.839185,0.919739,0.782593
0.817209,0.909297,0.806422
0.795233,0.898854,0.830251
0.773257,0.888411,0.85408
0.741802,0.873114,0.872788
0.709399,0.85733,0.890985
0.676996,0.841547,0.909181
0.644593,0.825763,0.927377
0.61219,0.80998,0.945574
0.580914,0.793738,0.953131
0.550991,0.776945,0.94792
0.521067,0.760152,0.942709
0.491143,0.743359,0.937498
0.46122,0.726566,0.932288
0.431296,0.709773,0.927077
